"","ShowCode","ShowName","episode","drop5","Avg100","Avg95"
"180","IP16","Kollywood Kothu","EP14",59.38,13.5647,30.8104382077794
"181","IP17","Takkunumusic","EP1",20.85,39.4353,49.1536323436513
"182","IP17","Takkunumusic","EP2",27.83,30.1632,40.7972841901067
"183","IP17","Takkunumusic","EP3",20.9,44.2371,55.3107458912769
"184","IP17","Takkunumusic","EP4",29.86,26.5651,36.7844311377246
"185","IP17","Takkunumusic","EP5",28.34,34.3224,47.0828914317611
"186","IP17","Takkunumusic","EP6",12.35,28.4792,32.0911580148317
"187","IP18","HPF tamil","EP1",66.94,10.1163,27.4733817301875
"188","IP18","HPF tamil","EP2",72.09,9.4598,29.9817269795772
"189","IP18","HPF tamil","EP3",65.87,9.5165,24.6132434808087
"190","IP18","HPF tamil","EP4",74.38,9.0511,31.3633879781421
"191","IP18","HPF tamil","EP5",58.28,14.3657,32.1057046979866
"192","IP18","HPF tamil","EP6",65.65,13.0434,34.8832605531296
"193","IP18","HPF tamil","EP7",58.69,13.9703,31.5490196078431
"194","IP18","HPF tamil","EP8",55.89,14.3962,30.4622534572659
"195","IP18","HPF tamil","EP9",67.33,11.7833,32.5555555555555
"196","IP18","HPF tamil","EP10",67.57,11.1425,31.4554424915202
"197","IP18","HPF tamil","EP11",56.51,12.691,26.4929868935388
"198","IP18","HPF tamil","EP12",67.5,15.3886,43.9941538461538
"199","IP18","HPF tamil","EP13",63.84,14.4406,36.3091814159292
"200","IP18","HPF tamil","EP14",70.25,11.6081,35.3031932773109
"201","IP19","Simran","EP1",68.79,11.5478,33.6792694649151
"202","IP19","Simran","EP2",72.47,9.9664,32.6225935343262
"203","IP19","Simran","EP3",67.37,11.8921,33.0021452650935
"204","IP19","Simran","EP4",61.4,12.3399,28.9067357512953
"205","IP19","Simran","EP5",68.07,9.7644,27.0764171625431
"206","IP19","Simran","EP6",55.41,15.5785,33.12715855573
"207","IP19","Simran","EP7",65.63,10.1273,26.569973814373
"208","IP19","Simran","EP8",68.75,11.697,33.8528
"209","IP19","Simran","EP9",52.15,16.2475,31.6315569487983
"210","IP19","Simran","EP10",55.77,12.5406,25.848066922903
"211","IP19","Simran","EP11",47.79,11.6461,19.9452212219881
"212","IP19","Simran","EP12",57.33,12.3556,26.1910007030701
"213","IP19","Simran","EP13",59.65,9.5761,20.7090458488228
"214","IP19","Simran","EP14",35.92,18.5765,27.5310549313358
"215","IP20","Punjabi Tadka","EP1",56.61,15.6952,32.7126065913805
"216","IP20","Punjabi Tadka","EP2",58.9,14.6538,33.1622871046229
"217","IP20","Punjabi Tadka","EP3",61.71,16.2689,39.0898406894751
"218","IP20","Punjabi Tadka","EP4",72.05,10.4759,31.9330948121646
"219","IP20","Punjabi Tadka","EP5",76.52,9.0851,33.6017887563884
"220","IP20","Punjabi Tadka","EP6",79.98,8.5362,37.9155844155844
"221","IP20","Punjabi Tadka","EP7",59.81,14.9749,33.5566061209256
"222","IP20","Punjabi Tadka","EP8",59.39,12.4596,27.4112287613888
"223","IP20","Punjabi Tadka","EP9",31.67,23.042,32.9042880140495
"224","IP20","Punjabi Tadka","EP10",68.84,13.0103,36.5369062901155
"225","IP20","Punjabi Tadka","EP11",60.43,14.2065,33.0871872630781
"226","IP20","Punjabi Tadka","EP12",69.21,12.3494,35.4459240012991
"227","IP20","Punjabi Tadka","EP13",51.95,17.0471,33.0555671175859
"228","IP20","Punjabi Tadka","EP14",30.46,25.6438,35.814063848145
